part_number,hm_instock,instock_qty,restock_date,restock_qty,status,discontinued
mpd010,no,21,24-03-2022,95,active,no
mpd011,yes,85,25-03-2022,76,disabled,no
mpd012,no,40,26-03-2022,26,active,yes
mpd013,yes,15,27-03-2022,54,disabled,yes
mpd014,no,61,28-03-2022,13,inactive,no
mpd015,yes,74,29-03-2022,52,active,no
mpd016,no,8,30-03-2022,48,enabled,no
mpd017,yes,52,31-03-2022,65,enabled,yes
wbk000,no,25,01-04-2022,20,active,yes
wbk001,no,90,02-04-2022,70,disabled,no
wbk002L,no,49,03-04-2022,6,enabled,no
wbk003,no,16,04-04-2022,63,disabled,no
wbk004,yes,99,05-04-2022,23,inactive,yes
wbk005,no,42,06-04-2022,68,inactive,no
wsd014,yes,63,30-04-2022,61,active,yes
wsd015,no,24,01-05-2022,25,enabled,yes
wsd016,no,70,02-05-2022,87,inactive,no
wsd017,yes,37,03-05-2022,19,inactive,no
wpd010,yes,75,04-05-2022,59,disabled,no
wpd011,yes,56,05-05-2022,42,inactive,yes
wpd012,no,19,06-05-2022,40,active,yes
wpd013,yes,46,07-05-2022,7,inactive,no
wpd014,no,53,08-05-2022,98,active,no
wpd015,no,53,09-05-2022,98,active,no
