sku,instock_d,instock_qty,restock_date,restock_qty,status,discontinued
msj017,yes,68,01-03-2022,84,active,no
mtk000,yes,55,02-03-2022,29,disabled,yes
mtk001,no,6,03-03-2022,99,inactive,yes
mtk002,yes,80,04-03-2022,66,active,no
mtk003,yes,35,05-03-2022,11,active,no
mtk004,no,44,06-03-2022,28,inactive,yes
mtk005,yes,97,07-03-2022,38,active,yes
mtk006,no,23,08-03-2022,12,disabled,no
mtk007,yes,71,09-03-2022,92,active,no
mtk008,no,14,10-03-2022,1,inactive,no
mtk009,yes,89,11-03-2022,75,enabled,yes
mtk010,no,29,12-03-2022,32,inactive,yes
mtk011,yes,54,13-03-2022,85,inactive,no
mtk012,no,1,14-03-2022,79,enabled,no
mtk013,yes,64,15-03-2022,37,inactive,no
mtk014,yes,32,16-03-2022,53,disabled,no
mpd003,yes,69,17-03-2022,64,inactive,no
mpd004,yes,2,18-03-2022,90,active,yes
mpd005,no,38,19-03-2022,31,inactive,yes
mpd006,no,98,20-03-2022,33,disabled,no
mpd007,yes,76,21-03-2022,80,inactive,no
mpd008,no,5,22-03-2022,71,enabled,no
mpd009,no,94,23-03-2022,55,disabled,yes
mpd010,no,21,24-03-2022,95,active,no
mpd011,yes,85,25-03-2022,76,disabled,no
mpd012,no,40,26-03-2022,26,active,yes
mpd013,yes,15,27-03-2022,54,disabled,yes
