sku,instock,instock_qty_lv,restock_date,restock_qty_lv,lv_status,discontinued
mtk005,yes,97,07-03-2022,38,active,yes
mtk006,no,23,08-03-2022,12,disabled,no
mtk007,yes,71,09-03-2022,92,active,no
mtk008,no,14,10-03-2022,1,inactive,no
mtk009,yes,89,11-03-2022,75,enabled,yes
mtk010,no,29,12-03-2022,32,inactive,yes
mtk011,yes,54,13-03-2022,85,inactive,no
mtk012,no,1,14-03-2022,79,enabled,no
mtk013,yes,64,15-03-2022,37,inactive,no
mtk014,yes,32,16-03-2022,53,disabled,no
mpd003,yes,69,17-03-2022,64,inactive,no
mpd004,yes,2,18-03-2022,90,active,yes
mpd005,no,38,19-03-2022,31,inactive,yes
mpd006,no,98,20-03-2022,33,disabled,no
mpd007,yes,76,21-03-2022,80,inactive,no
mpd008,no,5,22-03-2022,71,enabled,no
mpd009,no,94,23-03-2022,55,disabled,yes
wbk003,no,16,04-04-2022,63,disabled,no
wbk004,yes,99,05-04-2022,23,inactive,yes
wbk005,no,42,06-04-2022,68,inactive,no
wbk006,no,67,07-04-2022,94,inactive,yes
wbk007,no,30,08-04-2022,82,inactive,no
wbk008,yes,57,09-04-2022,36,active,yes
wbk009,no,11,10-04-2022,91,active,no
wbk010,yes,86,11-04-2022,30,disabled,no
wbk011,no,34,12-04-2022,39,inactive,no
wbk012,yes,3,13-04-2022,14,active,yes
wbk013,no,58,14-04-2022,77,disabled,no
wbk014,yes,20,15-04-2022,45,enabled,yes
wsd000,no,72,16-04-2022,78,inactive,yes
wsd001,no,4,17-04-2022,2,disabled,no
wsd002,yes,81,18-04-2022,60,active,no
wsd003,yes,36,19-04-2022,18,active,yes
wsd004,yes,43,20-04-2022,22,disabled,no
wsd005,no,91,21-04-2022,15,inactive,no
wsd006,no,26,22-04-2022,3,inactive,no
