sku,instock,instock_qty,restock_date,restock_qty,status,discontinued
msj000,no,73,12-02-2022,21,enabled,no
msj001,yes,45,13-02-2022,86,disabled,yes
msj002,no,18,14-02-2022,72,active,no
msj003,yes,82,15-02-2022,58,inactive,no
msj004,no,96,16-02-2022,93,disabled,yes
msj005,no,27,17-02-2022,17,enabled,no
msj006,yes,65,18-02-2022,34,active,no
msj007,no,41,19-02-2022,49,active,yes
msj008,yes,10,20-02-2022,83,active,yes
msj009,no,88,21-02-2022,35,inactive,no
msj010,yes,33,22-02-2022,69,disabled,yes
msj011,no,50,23-02-2022,4,active,no
msj012,yes,7,24-02-2022,96,active,yes
msj013,no,59,25-02-2022,89,disabled,no
msj014,yes,22,26-02-2022,27,inactive,no
msj015,no,93,27-02-2022,51,enabled,yes
msj016,no,12,28-02-2022,67,active,no
msj017,yes,68,01-03-2022,84,active,no
mtk000,yes,55,02-03-2022,29,disabled,yes
mtk001,no,6,03-03-2022,99,inactive,yes
mtk002,yes,80,04-03-2022,66,active,no
mtk003,yes,35,05-03-2022,11,active,no
mtk004,no,44,06-03-2022,28,inactive,yes
mtk005,yes,97,07-03-2022,38,active,yes
mtk006,no,23,08-03-2022,12,disabled,no
mtk007,yes,71,09-03-2022,92,active,no
mtk008,no,14,10-03-2022,1,inactive,no
mtk009,yes,89,11-03-2022,75,enabled,yes
mtk010,no,29,12-03-2022,32,inactive,yes
mtk011,yes,54,13-03-2022,85,inactive,no
mtk012,no,1,14-03-2022,79,enabled,no
mtk013,yes,64,15-03-2022,37,inactive,no
mtk014,yes,32,16-03-2022,53,disabled,no
mpd003,yes,69,17-03-2022,64,inactive,no
mpd004,yes,2,18-03-2022,90,active,yes
mpd005,no,38,19-03-2022,31,inactive,yes
mpd006,no,98,20-03-2022,33,disabled,no
mpd007,yes,76,21-03-2022,80,inactive,no
mpd008,no,5,22-03-2022,71,enabled,no
mpd009,no,94,23-03-2022,55,disabled,yes
mpd010,no,21,24-03-2022,95,active,no
mpd011,yes,85,25-03-2022,76,disabled,no
mpd012,no,40,26-03-2022,26,active,yes
mpd013,yes,15,27-03-2022,54,disabled,yes
mpd014,no,61,28-03-2022,13,inactive,no
mpd015,yes,74,29-03-2022,52,active,no
mpd016,no,8,30-03-2022,48,enabled,no
mpd017,yes,52,31-03-2022,65,enabled,yes
wbk000,no,25,01-04-2022,20,active,yes
wbk001,no,90,02-04-2022,70,disabled,no
wbk002L,no,49,03-04-2022,6,enabled,no
wbk003,no,16,04-04-2022,63,disabled,no
wbk004,yes,99,05-04-2022,23,inactive,yes
wbk005,no,42,06-04-2022,68,inactive,no
wbk006,no,67,07-04-2022,94,inactive,yes
wbk007,no,30,08-04-2022,82,inactive,no
wbk008,yes,57,09-04-2022,36,active,yes
wbk009,no,11,10-04-2022,91,active,no
wbk010,yes,86,11-04-2022,30,disabled,no
wbk011,no,34,12-04-2022,39,inactive,no
wbk012,yes,3,13-04-2022,14,active,yes
wbk013,no,58,14-04-2022,77,disabled,no
wbk014,yes,20,15-04-2022,45,enabled,yes
wsd000,no,72,16-04-2022,78,inactive,yes
wsd001,no,4,17-04-2022,2,disabled,no
wsd002,yes,81,18-04-2022,60,active,no
wsd003,yes,36,19-04-2022,18,active,yes
wsd004,yes,43,20-04-2022,22,disabled,no
wsd005,no,91,21-04-2022,15,inactive,no
wsd006,no,26,22-04-2022,3,inactive,no
wsd007,no,48,23-04-2022,5,inactive,yes
wsd008,no,77,24-04-2022,65,active,no
wsd009,yes,13,25-04-2022,57,inactive,no
wsd010,no,62,26-04-2022,24,active,yes
wsd011,yes,31,27-04-2022,97,active,no
wsd012,yes,9,28-04-2022,73,disabled,no
wsd013,no,78,29-04-2022,9,enabled,no
wsd014,yes,63,30-04-2022,61,active,yes
wsd015,no,24,01-05-2022,25,enabled,yes
wsd016,no,70,02-05-2022,87,inactive,no
wsd017,yes,37,03-05-2022,19,inactive,no
wpd010,yes,75,04-05-2022,59,disabled,no
wpd011,yes,56,05-05-2022,42,inactive,yes
wpd012,no,19,06-05-2022,40,active,yes
wpd013,yes,46,07-05-2022,7,inactive,no
wpd014,no,53,08-05-2022,98,active,no
